cancer,model,seed,cindex
KIRC,CoxLasso,4,0.0
KIRC,CoxLasso,5,
KIRC,CoxLasso,6,0.625
KIRC,CoxLasso,7,0.0
KIRC,CoxLasso,8,1.0
KIRC,CoxLasso,9,0.75
KIRC,CoxRidge,0,0.6
KIRC,CoxRidge,1,0.25
KIRC,CoxRidge,2,0.75
KIRC,CoxRidge,3,
KIRC,CoxRidge,4,0.0
KIRC,CoxRidge,5,
KIRC,CoxRidge,6,0.625
KIRC,CoxRidge,7,0.0
KIRC,CoxRidge,8,1.0
KIRC,CoxRidge,9,0.75
KIRC,Coxnnet,0,0.8
KIRC,Coxnnet,1,0.875
KIRC,Coxnnet,2,0.25
KIRC,Coxnnet,3,
KIRC,Coxnnet,4,0.75
KIRC,Coxnnet,5,
KIRC,Coxnnet,6,0.5
KIRC,Coxnnet,7,0.8333333333333334
KIRC,Coxnnet,8,0.6
KIRC,Coxnnet,9,1.0
KIRC,CoxMLP,0,0.2
KIRC,CoxMLP,1,0.75
KIRC,CoxMLP,2,0.75
KIRC,CoxMLP,3,
KIRC,CoxMLP,4,0.75
KIRC,CoxMLP,5,
KIRC,CoxMLP,6,0.375
KIRC,CoxMLP,7,0.6666666666666666
KIRC,CoxMLP,8,0.0
KIRC,CoxMLP,9,0.75
KIRC,VAECox,0,0.8
KIRC,VAECox,1,0.875
KIRC,VAECox,2,0.75
KIRC,VAECox,3,
KIRC,VAECox,4,1.0
KIRC,VAECox,5,
KIRC,VAECox,6,0.625
KIRC,VAECox,7,0.6666666666666666
KIRC,VAECox,8,0.4
KIRC,VAECox,9,0.75
LGG,CoxLasso,0,0.5
LGG,CoxLasso,1,
LGG,CoxLasso,2,
LGG,CoxLasso,3,0.14285714285714285
LGG,CoxLasso,4,
LGG,CoxLasso,5,0.75
LGG,CoxLasso,6,
LGG,CoxLasso,7,1.0
LGG,CoxLasso,8,
LGG,CoxLasso,9,0.75
LGG,CoxRidge,0,0.5
LGG,CoxRidge,1,
LGG,CoxRidge,2,
LGG,CoxRidge,3,0.14285714285714285
LGG,CoxRidge,4,
LGG,CoxRidge,5,0.75
LGG,CoxRidge,6,
LGG,CoxRidge,7,1.0
LGG,CoxRidge,8,
LGG,CoxRidge,9,0.75
LGG,Coxnnet,0,0.75
LGG,Coxnnet,1,
LGG,Coxnnet,2,
LGG,Coxnnet,3,0.8571428571428571
LGG,Coxnnet,4,
LGG,Coxnnet,5,1.0
LGG,Coxnnet,6,
LGG,Coxnnet,7,0.6666666666666666
LGG,Coxnnet,8,
LGG,Coxnnet,9,0.625
LGG,CoxMLP,0,0.5
LGG,CoxMLP,1,
LGG,CoxMLP,2,
LGG,CoxMLP,3,0.7142857142857143
LGG,CoxMLP,4,
LGG,CoxMLP,5,1.0
LGG,CoxMLP,6,
LGG,CoxMLP,7,0.6666666666666666
LGG,CoxMLP,8,
LGG,CoxMLP,9,0.75
LGG,VAECox,0,0.5
LGG,VAECox,1,
LGG,VAECox,2,
LGG,VAECox,3,0.7142857142857143
LGG,VAECox,4,
LGG,VAECox,5,1.0
LGG,VAECox,6,
LGG,VAECox,7,1.0
LGG,VAECox,8,
LGG,VAECox,9,0.5
LIHC,CoxLasso,0,0.0
LIHC,CoxLasso,1,1.0
LIHC,CoxLasso,2,1.0
LIHC,CoxLasso,3,0.0
LIHC,CoxLasso,4,1.0
LIHC,CoxLasso,5,0.16666666666666666
LIHC,CoxLasso,6,1.0
LIHC,CoxLasso,7,
LIHC,CoxLasso,8,
LIHC,CoxLasso,9,0.625
LIHC,CoxRidge,0,0.6666666666666666
LIHC,CoxRidge,1,0.8
LIHC,CoxRidge,2,0.25
LIHC,CoxRidge,3,0.0
LIHC,CoxRidge,4,1.0
LIHC,CoxRidge,5,0.0
LIHC,CoxRidge,6,0.6
LIHC,CoxRidge,7,
LIHC,CoxRidge,8,
LIHC,CoxRidge,9,0.75
LIHC,Coxnnet,0,0.6666666666666666
LIHC,Coxnnet,1,0.2
LIHC,Coxnnet,2,0.0
LIHC,Coxnnet,3,0.5
LIHC,Coxnnet,4,0.6
LIHC,Coxnnet,5,0.5
LIHC,Coxnnet,6,0.2
LIHC,Coxnnet,7,
LIHC,Coxnnet,8,
LIHC,Coxnnet,9,0.625
LIHC,CoxMLP,0,0.8333333333333334
LIHC,CoxMLP,1,0.4
LIHC,CoxMLP,2,0.0
LIHC,CoxMLP,3,0.0
LIHC,CoxMLP,4,0.0
LIHC,CoxMLP,5,0.16666666666666666
LIHC,CoxMLP,6,0.6
LIHC,CoxMLP,7,
LIHC,CoxMLP,8,
LIHC,CoxMLP,9,0.25
LIHC,VAECox,0,0.6666666666666666
LIHC,VAECox,1,0.0
LIHC,VAECox,2,0.0
LIHC,VAECox,3,1.0
LIHC,VAECox,4,0.4
LIHC,VAECox,5,0.8333333333333334
LIHC,VAECox,6,0.8
LIHC,VAECox,7,
LIHC,VAECox,8,
LIHC,VAECox,9,0.5
LUAD,CoxLasso,0,0.0
LUAD,CoxLasso,1,1.0
LUAD,CoxLasso,2,
LUAD,CoxLasso,3,0.75
LUAD,CoxLasso,4,
LUAD,CoxLasso,5,0.3333333333333333
LUAD,CoxLasso,6,
LUAD,CoxLasso,7,1.0
LUAD,CoxLasso,8,
LUAD,CoxLasso,9,1.0
LUAD,CoxRidge,0,0.0
LUAD,CoxRidge,1,1.0
LUAD,CoxRidge,2,
LUAD,CoxRidge,3,0.75
LUAD,CoxRidge,4,
LUAD,CoxRidge,5,0.3333333333333333
LUAD,CoxRidge,6,
LUAD,CoxRidge,7,1.0
LUAD,CoxRidge,8,
LUAD,CoxRidge,9,1.0
LUAD,Coxnnet,0,0.0
LUAD,Coxnnet,1,0.5
LUAD,Coxnnet,2,
LUAD,Coxnnet,3,0.5
LUAD,Coxnnet,4,
LUAD,Coxnnet,5,0.3333333333333333
LUAD,Coxnnet,6,
LUAD,Coxnnet,7,1.0
LUAD,Coxnnet,8,
LUAD,Coxnnet,9,0.0
LUAD,CoxMLP,0,0.0
LUAD,CoxMLP,1,0.0
LUAD,CoxMLP,2,
LUAD,CoxMLP,3,0.25
LUAD,CoxMLP,4,
LUAD,CoxMLP,5,0.6666666666666666
LUAD,CoxMLP,6,
LUAD,CoxMLP,7,1.0
LUAD,CoxMLP,8,
LUAD,CoxMLP,9,0.0
LUAD,VAECox,0,0.0
LUAD,VAECox,1,1.0
LUAD,VAECox,2,
LUAD,VAECox,3,0.75
LUAD,VAECox,4,
LUAD,VAECox,5,1.0
LUAD,VAECox,6,
LUAD,VAECox,7,0.0
LUAD,VAECox,8,
LUAD,VAECox,9,0.0
LUSC,CoxLasso,0,0.5
LUSC,CoxLasso,1,1.0
LUSC,CoxLasso,2,0.6
LUSC,CoxLasso,3,0.6666666666666666
LUSC,CoxLasso,4,1.0
LUSC,CoxLasso,5,1.0
LUSC,CoxLasso,6,0.3333333333333333
LUSC,CoxLasso,7,0.3333333333333333
LUSC,CoxLasso,8,0.0
LUSC,CoxLasso,9,0.6
LUSC,CoxRidge,0,0.5
LUSC,CoxRidge,1,1.0
LUSC,CoxRidge,2,0.4
