model,BLCA,BRCA,HNSC,KIRC,LGG,LIHC,LUAD,LUSC,OV,STAD,Mean
CoxLasso,0.6105,0.6731,0.6228,0.703,0.8097,0.697,0.6089,0.5057,0.5819,0.5097,0.6322300000000001
CoxMLP,0.6508,0.6789,0.6074,0.7308,0.8161,0.693,0.6398,0.5085,0.5751,0.5083,0.64087
CoxRidge,0.6119,0.6797,0.6298,0.7026,0.8103,0.6967,0.6155,0.5031,0.5823,0.5124,0.63443
Coxnnet,0.6496,0.6988,0.6096,0.7531,0.8131,0.7252,0.6268,0.4784,0.576,0.5306,0.6461199999999999
VAECox,0.6624,0.6711,0.6125,0.7219,0.8011,0.7302,0.6403,0.4954,0.5864,0.5375,0.6458799999999999
